Bagian;Proses Bisnis;Sistem;;;Status Implementasi;Catatan;Status Pengembangan;;
;;HRIS;Internal Kemenkeu;Eksternal;;;;;
Perencanaan dan Pengadaan SDM;Perencanaan Kebutuhan dan Usul Formasi SDM;Perencanaan SDM;;;Semi Implementasi;Implementasi terbatas Biro SDM (Dashboard Jabatan Core-Support);Pengembangan;Modul Perencanaan;
Perencanaan dan Pengadaan SDM;Perencanaan Kebutuhan dan Usul Formasi SDM;;;e-Formasi;Implementasi;;;;
Perencanaan dan Pengadaan SDM;Perencanaan Kebutuhan dan Alokasi Lulusan PKN STAN;Perencanaan SDM;;;Semi Implementasi;Implementasi terbatas Biro SDM (Dashboard Jabatan Core-Support);Pengembangan;;
Perencanaan dan Pengadaan SDM;Perencanaan Kebutuhan dan Alokasi Lulusan PKN STAN;;;e-Formasi;Implementasi;;;;
Perencanaan dan Pengadaan SDM;Survey Pengadaan SDM;;Forms Kemenkeu;;Implementasi;;;;
Perencanaan dan Pengadaan SDM;Magang;;Aplikasi Pemagangan;;;;Pembangunan;Aplikasi Pemagangan;
Perencanaan dan Pengadaan SDM;Rekrutmen PPPK;;;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen/Seleksi Terbuka Pindah Instansi PNS;;Web Rekrutmen;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen/Seleksi Terbuka Pindah Instansi PNS;;Modul Seleksi Terbuka Pindah Instansi PNS;;;;Backlog;;Di OA karena bisa diakses pegawai non kemenkeu
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;Web Rekrutmen;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;;SSCASN BKN;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;;SSCASN BKN;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;;Pihak Ketiga;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;;Pihak Ketiga;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;;SSCASN BKN;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;Web Rekrutmen;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;;Web Rekrutmen;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;SK CPNS;;;Implementasi;;Backlog;Modul SK CPNS dan SK PNS;
Perencanaan dan Pengadaan SDM;Rekrutmen CPNS;SK PNS;;;Implementasi;;Backlog;Modul SK CPNS dan SK PNS;
Perencanaan dan Pengadaan SDM;Rekrutmen HPP;;Web Rekrutmen HPP;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen HPP;;Aplikasi Verifikasi HPP;;;;;;
Perencanaan dan Pengadaan SDM;Rekrutmen HPP;;Aplikasi TPP;;;;;;
