Unit,ProsesBisnis,HRIS,InternalKemenkeu,Eksternal,StatusImplementasi,StatusPengembangan
Perencanaan dan Pengadaan SDM,Perencanaan Kebutuhan dan Usul Formasi SDM,Perencanaan SDM,,,Semi Implementasi,Pengembangan
Perencanaan dan Pengadaan SDM,Perencanaan Kebutuhan dan Usul Formasi SDM,,,e-Formasi,Implementasi,
Perencanaan dan Pengadaan SDM,Perencanaan Kebutuhan dan Alokasi Lulusan PKN STAN,Perencanaan SDM,,,Semi Implementasi,Pengembangan
Perencanaan dan Pengadaan SDM,Perencanaan Kebutuhan dan Alokasi Lulusan PKN STAN,,,e-Formasi,Implementasi,
Perencanaan dan Pengadaan SDM,Survey Pengadaan SDM,,Forms Kemenkeu,,Implementasi,
Perencanaan dan Pengadaan SDM,Magang,,Aplikasi Pemagangan,,,Pembangunan
Perencanaan dan Pengadaan SDM,Rekrutmen PPPK,,,,,
Perencanaan dan Pengadaan SDM,Rekrutmen/Seleksi Terbuka Pindah Instansi PNS,,Web Rekrutmen,,,
Perencanaan dan Pengadaan SDM,Rekrutmen/Seleksi Terbuka Pindah Instansi PNS,,Modul Seleksi Terbuka Pindah Instansi PNS,,,Backlog
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,Web Rekrutmen,,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,,SSCASN BKN,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,,SSCASN BKN,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,,Pihak Ketiga,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,,Pihak Ketiga,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,,SSCASN BKN,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,,Web Rekrutmen,,,
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,SK CPNS,,,Implementasi,Backlog
Perencanaan dan Pengadaan SDM,Rekrutmen CPNS,SK PNS,,,Implementasi,Backlog
Perencanaan dan Pengadaan SDM,Rekrutmen HPP,,Web Rekrutmen HPP,,,
Perencanaan dan Pengadaan SDM,Rekrutmen HPP,,Aplikasi Verifikasi HPP,,,
Perencanaan dan Pengadaan SDM,Rekrutmen HPP,,Aplikasi TPP,,,
Perencanaan dan Pengadaan SDM,Rekrutmen HPP,,,Pihak Ketiga,,
Perencanaan dan Pengadaan SDM,Administrasi - Kartu Pegawai,,,,,N/A
Perencanaan dan Pengadaan SDM,Administrasi - Penerbitan BPJS Pegawai,,,,,N/A
Perencanaan dan Pengadaan SDM,Administrasi - Tapera Pegawai,,,,,N/A
Perencanaan dan Pengadaan SDM,Administrasi - Penerbitan Karis/Karsu ,,,,,N/A
Perencanaan dan Pengadaan SDM,Survey Penempatan Mahasiswa PKN STAN,,Aplikasi Survey Leaders Factory,,Implementasi,Finished
Pengembangan SDM,Pengelolaan Data Kompetensi,Assessment Center,,,Implementasi,Finished
Pengembangan SDM,Pengelolaan Data Kompetensi,Kompetensi Lengkap,,,Implementasi,Finished
Pengembangan SDM,Pengelolaan Data Kompetensi,,Assessment Online,,,
Pengembangan SDM,Uji Kompetensi Online,,Ujian Online KLC,,,
Pengembangan SDM,Uji Kompetensi Online,Uji Kompetensi,,,Belum Implementasi,Finished
Pengembangan SDM,Pengelolaan data Dewas/Dekom,Dewas/Dekom,,,,Pembangunan
Pengembangan SDM,Pencantuman Gelar,,,,,
Pengembangan SDM,Individual Development Plan (IDP),,Mod. Pembelajaran (OA),,,Pembangunan
Pengembangan SDM,Manajemen Kinerja,e-Performance,,,Implementasi,Pengembangan
Pengembangan SDM,Melanjutkan Pendidikan,Melanjutkan Pendidikan,,,,Backlog
Pengembangan SDM,Secondment,Secondment,,,,N/A
Manajemen Informasi SDM,Pengembangan dan Perencanaan SISDM,,,,,
Manajemen Informasi SDM,Penyediaan pelaporan data SDM,DSS,,,Implementasi,Pengembangan
Manajemen Informasi SDM,Penyediaan pelaporan data SDM,HR Dashboard,,,Implementasi,Finished
Manajemen Informasi SDM,Penyediaan pelaporan data SDM,Struktur Organisasi,,,,
Manajemen Informasi SDM,Penyediaan pelaporan data SDM,,Data Warehouse,,,
Manajemen Informasi SDM,Penyediaan pelaporan data SDM,,OLAP,,,
Manajemen Informasi SDM,Manajemen Website Biro SDM,,Web Biro SDM,,,Pengembangan
Manajemen Informasi SDM,Layanan Permintaan Data,,Web Biro SDM,,Implementasi,Finished
Manajemen Informasi SDM,Inpassing,,,,,N/A
Manajemen Informasi SDM,Manajemen Akurasi dan Integrasi Data,Update Data Mandiri,,,Implementasi,Pengembangan
Manajemen Informasi SDM,Manajemen Akurasi dan Integrasi Data,Form Akurasi Data,,,Implementasi,Finished
Manajemen Informasi SDM,Manajemen Akurasi dan Integrasi Data,Manajemen Akun Pegawai,,,,N/A
Manajemen Informasi SDM,Manajemen Akurasi dan Integrasi Data,Manajemen UPSDM,,,,N/A
Manajemen Informasi SDM,Manajemen Akurasi dan Integrasi Data,Manajemen Tim,,,,
Manajemen Informasi SDM,Manajemen Akurasi dan Integrasi Data,,Laporan Anomali (Web Biro SDM),,,
Manajemen Informasi SDM,Manajemen Dossir Pegawai,,Simpedos,,,Pembangunan
Manajemen Informasi SDM,Layanan Permintaan Dossir,,Nadine,,,Backlog
Mutasi dan Kepangkatan,Mutasi dan Promosi,Mutasi Promosi,,,Belum Implementasi,Pengembangan
Mutasi dan Kepangkatan,Mutasi dan Promosi,Kemenkeu Individual Career Plan (KICP),,,,Pembangunan
Mutasi dan Kepangkatan,Mutasi dan Promosi,Monitoring dan Evaluasi Pengembangan Karir,,,,N/A
Mutasi dan Kepangkatan,Mutasi dan Promosi,Mutasi Promosi Antar Unit Eselon I,,,,N/A
Mutasi dan Kepangkatan,Seleksi JPT Madya,,Aplikasi Seleksi JPT Madya Kemenkeu,,Implementasi,Finished
